,latitude,longitude,name,Address,Area,Cost for two,Cuisine,Hours,Ratings,Type,Votes,Food-choices
2662,22.5378518,88.3880744,Moon Star Restaurant," 55B, Nafis Apartment, G.J. Khan Road, Topsia, Kolkata",Topsia,400," North Indian, Chinese",                                12 Noon to 10:30 PM (Mon-Sun),3.1,Casual Dining,24 votes,
2663,22.350795,88.266226,Spice O Life," Ibiza Merlin Greens, Kriparampur, Amtala, South 24 Parganas, Joka, Kolkata","Ibiza Merlin Greens, Joka",1000," North Indian, Chinese, Bengali",                                10 AM to 10 PM (Mon-Sun),3.1,Casual Dining,11 votes,
2664,22.7005590898,88.3813428506,Aakash Caterer," Station Road, Sodepur, Kolkata",Sodepur,300," North Indian, Chinese, Biryani",                                10 AM to 12 Midnight (Mon-Sun),2.5,Casual Dining,27 votes,
2665,22.4595705,88.3828273,Marlin Restaurant cum Bar," 1/A, K.C. Avenue, Boral Road, Garia, Kolkata",Garia,500," North Indian, Chinese",                                12 Noon to 10 PM (Mon-Sun),2.4,"Casual Dining,Bar",26 votes,
2666,22.6011255252,88.3738232777,Maa Kali Road Centre," 209, A.P.C. Road, 5 Point Crossing, Shyam Bazar, Kolkata",Shyam Bazar,150, Street Food,                                12 Noon to 10 PM (Mon-Sun),2.9,Quick Bites,4 votes,
2667,22.6011255252,88.3738232777,Nepali Suman's Momo," 209, A.P.C. Road, 5 Point Crossing, Shyam Bazar, Kolkata",Shyam Bazar,100, Fast Food,                                9 AM to 10 PM (Mon-Sun),2.9,Quick Bites,10 votes,
2668,22.6011255252,88.3738232777,Gupta's Pav Bhaji," 180B, Mukhtaram Babu Street, Near Ram Mandir, Chittaranjan Avenue, Kolkata, Girish Park, Kolkata",Girish Park,200, Street Food,                                10 AM to 10 PM (Mon-Sun),3.1,Quick Bites,17 votes,
2669,22.5804332741,88.3595713601,Reyaz Hotel," 13 A, Madan Mohan Burman Street, College Street, Kolkata",College Street,200, Mughlai,                                7 AM to 11 PM (Mon-Sun),2.9,Quick Bites,6 votes,
2670,22.5825002864,88.3620832488,Green Chilly," 1, Tollygunge Circular Road, New Alipore, Kolkata",New Alipore,350," North Indian, Chinese",                                12 Noon to 11 PM (Mon-Sun),2.8,Quick Bites,15 votes,
2671,22.571492,88.358496,New Central Hotel," 90, Chandni Chowk, Kolkata",Chandni Chowk,350, North Indian,                                11 AM to 10:45 PM (Mon-Sun),2.8,Quick Bites,6 votes,
